"ID","Longitude","Latitude","x","y","STATE_ID","STATE","FIPS","COUNTY","SOC"
33,-109.04304,40.44604002,-1093437.57,2012102.53,8,"Colorado",8081,"Moffat County",6.439
38,-108.9170101,37.58697,-1126354.83,1693198.83,8,"Colorado",8083,"Montezuma County",2.821
41,-108.8763701,39.21424003,-1098195.83,1873435.33,8,"Colorado",8077,"Mesa County",2.76
46,-108.79555,38.84402001,-1096914.83,1831385.01,8,"Colorado",8077,"Mesa County",10.535
49,-108.7419301,39.50625001,-1082424.11,1904322.66,8,"Colorado",8045,"Garfield County",5.528
51,-108.72642,37.82026002,-1106344.79,1716868.61,8,"Colorado",8033,"Dolores County",5.995
52,-108.71097,37.66424,-1107341.57,1699358.76,8,"Colorado",8033,"Dolores County",3.782
57,-108.65148,37.73378,-1101155.21,1706391.99,8,"Colorado",8033,"Dolores County",4.874
59,-108.60023,38.78655003,-1081121.34,1822762.66,8,"Colorado",8077,"Mesa County",7.178
61,-108.58555,40.30018003,-1057471,1990733.76,8,"Colorado",8081,"Moffat County",3.935
69,-108.40023,37.65977995,-1080491.63,1695286.36,8,"Colorado",8033,"Dolores County",4.411
70,-108.3863301,37.42488002,-1082708.81,1669026.16,8,"Colorado",8083,"Montezuma County",3.812
71,-108.38184,38.41630002,-1067881.93,1779151.36,8,"Colorado",8085,"Montrose County",8.818
78,-108.27773,37.39972997,-1073632.14,1664999.28,8,"Colorado",8083,"Montezuma County",6.015
79,-108.2732,39.31705998,-1045562.16,1878055.16,8,"Colorado",8077,"Mesa County",0.736
80,-108.2472981,37.97617935,-1062682.81,1728725.85,8,"Colorado",8113,"San Miguel County",11.22
85,-108.14849,37.74476,-1057462.97,1701899.58,8,"Colorado",8033,"Dolores County",30.473
88,-108.102805,38.33221505,-1045145.13,1766702.53,8,"Colorado",8091,"Ouray County",14.276
97,-107.86129,39.89588998,-1002581.77,1937960.61,8,"Colorado",8103,"Rio Blanco County",2.644
99,-107.8054999,37.53461064,-1030681.71,1674765.77,8,"Colorado",8067,"La Plata County",18.391
101,-107.79405,40.14522996,-993469.31,1964975.76,8,"Colorado",8103,"Rio Blanco County",16.201
103,-107.7396,37.44670999,-1026171.5,1664277.11,8,"Colorado",8067,"La Plata County",20.061
109,-107.6902901,39.32366083,-996069.93,1872527.63,8,"Colorado",8077,"Mesa County",7.03
110,-107.6901151,38.05305846,-1013529.4,1731188,8,"Colorado",8091,"Ouray County",1.9
114,-107.65141,38.64693999,-1002049.77,1796841.99,8,"Colorado",8085,"Montrose County",6.361
117,-107.6142869,37.82282172,-1010133.88,1704769.11,8,"Colorado",8111,"San Juan County",10.993
119,-107.5538373,40.8313209,-964015.39,2038775.27,8,"Colorado",8081,"Moffat County",5.215
120,-107.54999,39.52777,-981401.67,1893771.96,8,"Colorado",8045,"Garfield County",5.38
123,-107.49408,38.72136997,-987578.94,1803475.84,8,"Colorado",8051,"Gunnison County",21.125
124,-107.49241,40.36857003,-965167.9,1986700.93,8,"Colorado",8081,"Moffat County",7.109
125,-107.47508,39.38085996,-977050.84,1876656.46,8,"Colorado",8045,"Garfield County",9.345
129,-107.3869142,40.07326332,-960305.37,1952787.33,8,"Colorado",8103,"Rio Blanco County",9.151
130,-107.3388286,40.32935812,-952854.22,1980790.01,8,"Colorado",8107,"Routt County",6.33
139,-107.1587126,39.80164283,-944715.07,1920278.92,8,"Colorado",8045,"Garfield County",1.36
142,-107.1205,40.72010003,-929481.77,2022090.72,8,"Colorado",8107,"Routt County",15.641
143,-107.09841,38.35968999,-958463.81,1759171.17,8,"Colorado",8051,"Gunnison County",19.099
147,-106.9405861,40.43805478,-918140.03,1988962.75,8,"Colorado",8107,"Routt County",10.653
150,-106.91402,37.69708001,-951120.87,1683549.13,8,"Colorado",8079,"Mineral County",17.884
151,-106.91317,38.86514002,-936045.8,1813599.26,8,"Colorado",8051,"Gunnison County",16.019
154,-106.87303,37.2699,-953029.79,1635578.95,8,"Colorado",8007,"Archuleta County",21.591
156,-106.8537529,38.65417059,-933666.52,1789523.05,8,"Colorado",8051,"Gunnison County",3.152
160,-106.7607973,38.40621248,-928844.92,1760998.87,8,"Colorado",8109,"Saguache County",3.667
164,-106.69851,37.53323004,-934483.01,1663166.43,8,"Colorado",8105,"Rio Grande County",27.984
