ID,STATE_ID,STATE,FIPS,COUNTY
1,56,Wyoming,56041,Uinta County
2,56,Wyoming,56023,Lincoln County
3,56,Wyoming,56039,Teton County
4,56,Wyoming,56039,Teton County
5,56,Wyoming,56029,Park County
6,56,Wyoming,56039,Teton County
7,56,Wyoming,56039,Teton County
8,56,Wyoming,56039,Teton County
9,56,Wyoming,56039,Teton County
10,56,Wyoming,56035,Sublette County
11,56,Wyoming,56035,Sublette County
12,56,Wyoming,56035,Sublette County
13,56,Wyoming,56039,Teton County
14,56,Wyoming,56041,Uinta County
15,56,Wyoming,56035,Sublette County
16,56,Wyoming,56023,Lincoln County
17,56,Wyoming,56029,Park County
18,56,Wyoming,56029,Park County
19,56,Wyoming,56013,Fremont County
20,56,Wyoming,56035,Sublette County
21,56,Wyoming,56035,Sublette County
22,56,Wyoming,56035,Sublette County
23,56,Wyoming,56013,Fremont County
24,56,Wyoming,56029,Park County
25,56,Wyoming,56035,Sublette County
26,56,Wyoming,56037,Sweetwater County
27,56,Wyoming,56037,Sweetwater County
28,56,Wyoming,56013,Fremont County
29,56,Wyoming,56029,Park County
30,56,Wyoming,56035,Sublette County
31,56,Wyoming,56029,Park County
32,56,Wyoming,56029,Park County
33,8,Colorado,8081,Moffat County
34,35,New Mexico,35023,Hidalgo County
35,35,New Mexico,35003,Catron County
36,56,Wyoming,56029,Park County
37,35,New Mexico,35023,Hidalgo County
38,8,Colorado,8083,Montezuma County
39,35,New Mexico,35031,McKinley County
40,56,Wyoming,56017,Hot Springs County
41,8,Colorado,8077,Mesa County
42,35,New Mexico,35031,McKinley County
43,56,Wyoming,56013,Fremont County
44,35,New Mexico,35003,Catron County
45,35,New Mexico,35023,Hidalgo County
46,8,Colorado,8077,Mesa County
47,35,New Mexico,35006,Cibola County
48,56,Wyoming,56013,Fremont County
49,8,Colorado,8045,Garfield County
50,35,New Mexico,35017,Grant County
51,8,Colorado,8033,Dolores County
52,8,Colorado,8033,Dolores County
53,56,Wyoming,56029,Park County
54,56,Wyoming,56013,Fremont County
55,35,New Mexico,35031,McKinley County
56,35,New Mexico,35017,Grant County
57,8,Colorado,8033,Dolores County
58,35,New Mexico,35006,Cibola County
59,8,Colorado,8077,Mesa County
60,35,New Mexico,35045,San Juan County
61,8,Colorado,8081,Moffat County
62,35,New Mexico,35017,Grant County
63,35,New Mexico,35006,Cibola County
64,35,New Mexico,35031,McKinley County
65,56,Wyoming,56013,Fremont County
66,35,New Mexico,35031,McKinley County
67,35,New Mexico,35003,Catron County
68,35,New Mexico,35017,Grant County
69,8,Colorado,8033,Dolores County
70,8,Colorado,8083,Montezuma County
71,8,Colorado,8085,Montrose County
72,56,Wyoming,56043,Washakie County
73,35,New Mexico,35023,Hidalgo County
74,35,New Mexico,35003,Catron County
75,35,New Mexico,35003,Catron County
76,35,New Mexico,35045,San Juan County
77,35,New Mexico,35006,Cibola County
78,8,Colorado,8083,Montezuma County
79,8,Colorado,8077,Mesa County
80,8,Colorado,8113,San Miguel County
81,56,Wyoming,56043,Washakie County
82,35,New Mexico,35003,Catron County
83,35,New Mexico,35029,Luna County
84,56,Wyoming,56013,Fremont County
85,8,Colorado,8033,Dolores County
86,35,New Mexico,35003,Catron County
87,35,New Mexico,35003,Catron County
88,8,Colorado,8091,Ouray County
89,35,New Mexico,35031,McKinley County
90,35,New Mexico,35045,San Juan County
91,56,Wyoming,56043,Washakie County
92,56,Wyoming,56013,Fremont County
93,56,Wyoming,56037,Sweetwater County
94,35,New Mexico,35017,Grant County
95,56,Wyoming,56013,Fremont County
96,56,Wyoming,56013,Fremont County
97,8,Colorado,8103,Rio Blanco County
98,35,New Mexico,35045,San Juan County
99,8,Colorado,8067,La Plata County
100,35,New Mexico,35029,Luna County
101,8,Colorado,8103,Rio Blanco County
102,56,Wyoming,56043,Washakie County
103,8,Colorado,8067,La Plata County
104,35,New Mexico,35045,San Juan County
105,35,New Mexico,35045,San Juan County
106,56,Wyoming,56013,Fremont County
107,35,New Mexico,35053,Socorro County
108,35,New Mexico,35006,Cibola County
109,8,Colorado,8077,Mesa County
110,8,Colorado,8091,Ouray County
111,35,New Mexico,35053,Socorro County
112,56,Wyoming,56013,Fremont County
113,35,New Mexico,35053,Socorro County
114,8,Colorado,8085,Montrose County
115,35,New Mexico,35029,Luna County
116,56,Wyoming,56007,Carbon County
117,8,Colorado,8111,San Juan County
118,56,Wyoming,56013,Fremont County
119,8,Colorado,8081,Moffat County
120,8,Colorado,8045,Garfield County
121,56,Wyoming,56037,Sweetwater County
122,35,New Mexico,35051,Sierra County
123,8,Colorado,8051,Gunnison County
124,8,Colorado,8081,Moffat County
125,8,Colorado,8045,Garfield County
126,35,New Mexico,35051,Sierra County
127,35,New Mexico,35043,Sandoval County
128,56,Wyoming,56043,Washakie County
129,8,Colorado,8103,Rio Blanco County
130,8,Colorado,8107,Routt County
131,56,Wyoming,56007,Carbon County
132,35,New Mexico,35053,Socorro County
133,35,New Mexico,35053,Socorro County
134,56,Wyoming,56025,Natrona County
135,35,New Mexico,35039,Rio Arriba County
136,35,New Mexico,35043,Sandoval County
137,56,Wyoming,56025,Natrona County
138,35,New Mexico,35053,Socorro County
139,8,Colorado,8045,Garfield County
140,56,Wyoming,56019,Johnson County
141,35,New Mexico,35043,Sandoval County
142,8,Colorado,8107,Routt County
143,8,Colorado,8051,Gunnison County
144,35,New Mexico,35043,Sandoval County
145,35,New Mexico,35053,Socorro County
146,56,Wyoming,56007,Carbon County
147,8,Colorado,8107,Routt County
148,35,New Mexico,35051,Sierra County
149,56,Wyoming,56019,Johnson County
150,8,Colorado,8079,Mineral County
151,8,Colorado,8051,Gunnison County
