"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13111,1.492,1.045,1.237,1.16,1.308,1.045,1.211,0.995,0.747,0.825,0.667,0.894,0.774,0.576,0.689
42115,2.037,2.265,2.605,2.393,1.741,1.434,1.349,1.507,1.397,1.473,0.922,0.564,0.577,0.922,1.313
42075,4.695,4.922,5.415,4.324,4.396,1.981,4.93,3.948,3.936,3.242,3.068,2.131,2.133,2.639,2.487
51683,5.298,4.733,4.478,4.993,4.85,4.293,4.53,4.396,3.348,2.715,2.654,2.002,1.988,1.77,2.281
36057,2.212,1.965,2.269,1.921,1.465,2.515,0.608,1.3,1.468,1.455,2.271,1.096,0.927,1.114,1.905
13149,1.789,2.051,2.371,2.412,1.828,1.886,1.723,2.063,1.407,1.437,1.465,1.184,0.916,0.913,0.942
37153,1.977,1.696,2.362,1.606,1.787,1.521,1.979,1.762,1.427,1.364,0.967,1.052,0.903,0.717,1.19
51735,3.013,3.263,3.124,3.164,2.671,3.977,3.519,2.239,1.911,2.605,1.775,1.516,2.016,1.464,1.547
37003,2.909,1.868,2.666,2.313,2.099,1.79,2.599,1.455,1.971,1.603,1.19,0.997,1.213,1.011,1.208
37063,2.516,2.254,2.678,2.124,2.266,2.245,2.118,2.153,2.73,1.538,1.68,1.137,1.231,1.073,1.319
36093,3.423,2.855,3.411,2.937,2.241,2.947,1.219,1.785,2.037,1.671,1.795,1.041,1.172,1.262,1.62
51590,3.349,2.464,3.212,2.669,2.656,2.674,2.27,2.545,2.519,1.404,1.555,1.194,1.143,0.996,1.049
51600,5.905,5.921,5.191,5.665,5.101,5.09,5.304,5.057,3.55,3.048,3.242,2.251,1.924,2.231,2.725
51530,2.53,2.604,2.624,1.718,2.433,1.379,1.824,1.981,1.394,1.026,1.497,1.097,1,1.056,0.837
37181,2.934,2.33,2.45,2.121,1.942,2.452,1.663,2.289,1.653,1.166,0.947,0.895,1.099,1.01,1.132
13003,0.71,0.754,0.753,0.789,0.85,0.82,0.699,0.926,0.676,0.579,0.478,0.331,0.424,0.369,0.382
51081,2.231,1.878,2.028,1.62,2.022,2.127,1.831,1.767,1.814,1.442,1.069,0.542,1.222,0.943,1.237
36015,2.186,2.308,2.622,1.736,2.244,1.973,2.219,2.162,1.531,1.381,1.184,0.787,0.766,0.749,0.753
51790,2.629,2.651,2.84,1.917,2.278,1.27,1.164,1.728,1.461,1.176,0.739,0.6,0.815,0.828,0.623
37157,3.627,2.804,3.438,2.822,2.968,3.122,2.041,2.872,3.341,1.331,1.686,1.136,1.181,1.113,0.978
13119,1.391,1.446,1.936,1.78,1.813,1.401,1.42,1.631,1.267,1.328,1.238,1.362,0.887,0.981,1.036
42001,4.531,4.803,4.428,3.875,5.249,4.739,3.515,3.367,3.086,2.501,2.481,1.467,1.96,1.77,1.615
51540,2.4,2.381,2.428,2.004,1.963,2.155,2.67,2.151,4.118,1.308,1.464,1.256,1.579,0.95,0.941
24510,6.026,6.146,5.135,5.757,4.888,8.469,6.733,5.815,6.283,5.261,3.886,3.842,3.145,3.2,3.243
42105,2.622,3.588,2.614,2.927,2.273,0.915,1.572,1.51,0.987,0.803,0.983,1.11,0.924,0.79,1.004
13173,0.855,0.73,0.837,0.761,0.937,0.777,0.692,0.857,0.539,0.527,0.557,0.421,0.493,0.415,0.378
13169,1.448,1.602,2.365,1.587,1.979,1.958,1.835,1.917,1.282,1.132,1.095,1.147,1.068,0.862,0.753
36109,3.246,3.292,3.115,1.924,2.345,1.484,2.187,1.589,0.86,1.227,1.669,1.062,0.841,0.756,1.066
36053,2.944,2.421,2.546,2.331,2.266,1.945,1.949,2.147,2.024,1.077,1.489,1.09,0.966,1.337,1.171
37007,2.398,2.033,2.794,1.908,2.128,1.8,2.112,2.005,1.648,1.474,0.973,1.098,0.908,0.788,1.216
37195,2.357,2.312,2.253,2.023,1.959,2.793,1.384,1.928,1.731,1.362,1.121,0.941,1.048,1.091,1.123
54077,3.342,3.249,3.737,2.067,3.304,2.153,2.447,2.889,2.277,1.728,1.984,1.259,2.008,2.057,1.472
51089,2.872,2.549,2.602,2.248,2.204,2.188,2.178,2.462,2.554,1.156,1.243,0.828,0.771,1.113,0.857
51099,4.026,4.16,3.602,3.22,3.83,4.843,3.701,3.486,2.531,2.281,1.736,1.896,1.633,1.471,1.814
42047,2.455,2.459,2.565,2.219,1.968,2.275,1.829,2.124,1.439,1.398,1.308,0.963,0.798,1.148,1.186
