"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
13111,17.25,14.37,12.42,13.19,14.49,12.41,12.22,12.18,11.93,11.67,7.98,8.18,9.21,10.34,8.49
42115,8.98,8.24,9.55,10.51,12.83,9.97,9.23,9.25,9.89,9.33,7.16,7.52,6.91,8.02,8
42075,12.76,10.96,12.17,14.13,15.05,15,12.76,12.81,10.6,12.8,10.18,9.75,8.91,10.6,10.97
51683,15.17,13.68,15.59,15.39,15.64,15.23,13.64,13.71,12.12,12.73,9.44,8.74,9.54,10.64,9.71
36057,8.83,7.96,9,10.97,9.2,10.32,7.97,7.97,8.29,8.05,7.02,6.96,7,7.96,7.03
13149,16.22,14.54,13.54,13.02,13.42,13.49,13.05,13.05,13.84,13.43,8.16,9,10.13,10.15,9.03
37153,17.62,15.6,14.22,14.38,15.15,13.98,13.34,13.38,12.98,11.99,9.01,9,10,11.01,9
51735,16.21,13.29,13.77,13.2,14.45,14,12.52,12.35,11.83,10.64,8.25,8.74,9.41,9.64,9.35
37003,15.65,12.5,13.22,12.94,14.17,13.94,11.44,11.49,11.92,12.1,8.32,8.15,9.04,9.82,8.65
37063,16.13,13.94,14.55,13.7,15.45,13.65,13.79,13.84,12.48,11.82,8.69,8.52,9.41,10.57,8.81
36093,9.24,9.22,9.2,10.91,10.45,11.12,8.46,8.59,8.57,8.47,7.37,7.25,7.2,8.31,7.15
51590,14.12,12.43,13.5,13.48,14.87,13.07,12.44,12.35,11.43,11.33,8.04,8.01,8.96,9.87,8.19
51600,15.12,14,15.93,15.61,16.48,15.92,14.07,14.11,12.23,13.07,9.9,9.19,9.97,11.05,10.33
51530,11.03,11.22,13.51,10.89,11.88,13.13,11.1,11.1,9.85,11.86,7.02,6.47,7.09,8.13,7.59
37181,15.88,13.02,14.57,12.96,14.91,12.8,13.09,13.09,11.97,10.98,8.01,7.97,8.99,9.69,8.04
13003,17.16,14.94,14.02,12.76,13.06,12.07,12.84,12.81,10.92,13,8.41,8.37,9.28,10,8.41
51081,16.92,14.48,15.05,12.87,14.5,13.6,13.28,13.28,11.8,10.93,8,7.99,8.82,9.07,8.32
36015,9.16,9.56,10.29,10.09,13.7,9.1,9.51,9.54,9.11,9.31,8,7.02,7.03,8.21,8.02
51790,11.95,11.82,13.59,11.9,12.8,13.59,12.64,12.92,10.01,11.23,7.65,6.92,7.61,8.85,8.01
37157,14.79,12.2,13.27,13.14,15.05,13.66,11.87,11.91,11.43,11.75,8.08,8,9.02,10.04,8.08
13119,18.72,14.75,13.91,13.99,16.59,13.12,12.87,12.91,13.07,13.01,9,9,10.02,11.02,8.99
42001,13.93,12.7,15.3,15.1,16.44,15.81,14.68,14.76,11,13.31,10.14,9.65,9.48,10.93,10.94
51540,14.24,11.47,14.06,12.89,13.99,14.05,13.07,13.06,11.03,11.05,8.06,7.01,8.03,9.04,8.53
24510,15.87,14.13,15.73,16.28,16.43,18.16,15.77,15.76,12.97,13.65,11.57,10.41,10.66,12.31,11.65
42105,9.61,10.01,10.58,10.93,14.06,9.42,10.56,10.53,9,11.1,8,7.01,7,8.63,8.01
13173,16.72,13.95,13.86,12.4,12.9,11.69,13.12,13.05,10.48,12.47,8.15,8.12,9.02,10,8.1
13169,16.97,14.12,13.3,13.03,13.94,12.6,13.03,13.03,12.63,13.5,8.99,9.01,10.2,10.82,9.01
36109,9.35,9.7,10.78,9.99,13.51,9.64,9.59,9.52,9.09,8.25,7.98,7.02,7.04,8.27,7.99
36053,9.97,8.14,10.01,12.4,10.29,10.03,8.61,8.54,9.08,8.01,7.11,6.98,7,8.01,7.34
37007,18.1,15.39,14.56,14.22,15.41,13.96,13.05,13.07,12.99,12.07,9,9,10,11.02,9
37195,18.14,17.58,16,14.95,15.33,14.07,14.99,15,12.8,11.38,8.89,8.05,9.08,10.09,8.93
54077,12.62,10.52,13.54,13.33,13.78,12.14,12.15,12.07,11.25,11.27,7.85,7.11,7.85,9.33,9.52
51089,13.99,11.46,12.87,12.55,13.73,13.31,11.35,11.41,10.62,11.35,7.83,7.31,8.34,9.3,8.01
51099,14.6,12.89,14.49,13.74,14.73,14.56,13.13,13.16,11.72,12.17,8.91,8.57,9.3,9.86,9.41
42047,10.81,11.11,12.66,13.01,14.49,10.74,11.86,11.82,10.22,10.43,8.13,7.85,7.16,9.17,8.56
42053,11.63,11.86,12.49,13.51,14.99,11.41,12.45,12.4,10.61,10.02,8.13,8.01,7.96,9.4,8.79
13247,19.91,15.88,14.51,13.2,15.5,13.03,13.56,13.37,13.9,14.37,9.13,9.13,10.86,11.5,9.15
42079,9.6,8.66,9.17,10.64,13.57,10.5,10.26,10.26,9.99,10.4,8.08,8.1,7.09,8.93,9.09
36005,13.14,11.76,11.61,13.04,13.3,13.73,13.05,12.99,12.49,11.83,9.88,9.78,8.94,11.02,9.66
42113,9.73,8.98,8.72,11.02,13,9.44,9.65,9.58,9.12,10.89,7.95,7.72,7.02,8.71,8.63
42021,12.33,9.98,14.71,11.71,14.73,11.36,12.83,12.77,10.9,11.76,8.96,8.06,8.2,9.64,9.87
45037,17.87,14.39,13.14,13.99,14.28,11.86,12.27,12.2,12.37,12.18,9.04,9.01,10.03,11.1,9.07
42037,10.22,9.36,9.99,11.57,13.39,11.35,10.77,10.69,9.64,11.23,8.44,8.32,7.48,9.05,9.4
51003,14.01,11.24,14,12.67,13.65,14.04,13.06,13.09,10.71,11.04,7.89,7.06,8,8.99,8.36
37151,15.55,14.37,14.12,13.82,15.23,13.85,13.18,13.2,12.49,12.81,8.99,8.93,9.57,10.96,9
36021,9.4,10,8.56,11.25,12.07,11.13,9.13,9.1,9.06,8.48,7.16,7.2,6.87,8.23,7.18
34023,13.1,10.77,11.8,12.67,13.74,14.27,12.79,12.65,11.93,12.21,9.64,9.65,8.68,10.99,9.66
13175,18.44,13.77,12.99,13.14,13.13,12.29,13.11,13.08,12.08,13.09,8.86,9.03,10.05,10.56,9.04
13133,17.67,14.78,13.73,13.07,15,12.04,13.01,13.01,13,13.03,9,9,10.17,11,9
13017,19.86,15.12,14,13.33,13.12,12.69,13.51,13.35,12.09,13.08,8.98,9,10.09,10,8.91
13277,19.74,16.36,14.16,13.93,13.45,13.05,14.13,14.07,12.09,13.26,8.99,9.09,10.09,10,8.91
13065,16.6,13.05,13.74,12.06,12.45,11.25,12.48,12.44,10.14,12.58,7.95,7.91,8.79,10,7.99
51570,16.19,14.22,15.18,13.08,13.73,13.81,13.43,13.32,11.18,11.33,8.27,8.16,8.28,9.08,8.2
