"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
10001,124056,125611,109185,109870,111078,112653,114316,115636,116778,117244,117888,118112,118428,118425,117995
10003,490382,496079,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162310,165258,167605
10005,148897,153300,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898,538479,542308,546041
11001,565230,570213,157307,160445,164187,168629,172517,177222,182390,187225,191991,194751,197145,200358,203347
13001,17116,17323,21023,21316,21287,21537,21967,22216,22860,23469,24706,24693,24896,24583,24856
13003,7408,7575,17396,17455,17502,17732,17740,17769,17725,17985,18133,18144,18236,18451,18379
13005,10053,10053,7591,7641,7748,7990,7985,8096,8197,8346,8366,8386,8375,8361,8255
13007,4003,4089,10131,10133,10101,10253,10283,10552,10682,10968,10987,11134,11096,11190,11188
13009,43968,44440,4025,4005,3923,4124,4024,3967,3877,3706,3728,3560,3451,3319,3365
13011,13608,14037,44684,44764,45203,45433,45967,46304,46513,47336,47855,47087,45720,45118,46484
13013,42812,44615,14544,15025,15485,15836,16250,16683,17076,17550,17953,18208,18395,18335,18233
13015,71457,74128,46520,48171,50409,52253,55032,57889,61395,64760,67362,68548,69367,69860,70161
13017,17498,17516,76806,79984,83106,85731,87834,90334,92983,95714,98415,99807,100157,100297,100488
13019,15914,16086,17483,17315,17178,17095,17106,17243,17525,17719,17675,17581,17634,17575,17570
13021,155077,154254,16268,16392,16671,17017,17399,17735,18051,18255,18863,19067,19286,19377,19160
13023,11385,11573,153857,153548,153929,153697,154159,154003,154510,154286,154384,155154,155547,155781,156189
13025,13914,14369,11654,11781,11757,11807,12018,12127,12553,13016,12985,13034,13063,13063,12909
13027,16142,16379,14700,15093,15556,15911,16222,16535,16895,17198,17593,18129,18411,18570,18539
13029,22330,23150,16458,16307,16229,16051,16127,16124,16309,16333,16475,16375,16243,15995,15648
13031,54354,55183,23474,23867,24377,25069,26061,26557,27346,28302,29178,29987,30233,31242,32272
13033,21867,22156,56146,56808,57361,59314,60832,63048,64304,65768,67092,68598,70217,72653,73162
13035,18299,18927,22279,22582,22626,22692,22867,22939,22875,22972,23084,23117,23316,23565,23131
13037,6051,6176,19621,20186,20993,21540,21706,22055,22669,23184,23794,23682,23655,23565,23426
13039,44409,43574,6325,6271,6359,6286,6306,6256,6350,6269,6456,6670,6694,6544,6489
13043,9621,9530,43824,44469,45299,44568,46096,46673,47086,48947,49713,50024,50513,50323,51407
13045,83187,85082,9585,9442,9772,9937,10039,10158,10388,10586,10691,10880,10998,11234,11126
13047,50740,52118,87932,91132,94087,97396,99774,102526,105853,108947,110242,110433,110527,110706,111444
13049,10103,10258,53549,54638,56024,57614,58866,59745,61095,62539,63271,63874,63942,64864,65004
13051,230831,231630,10312,10675,10910,11282,11378,11635,12089,12056,12604,12665,12171,13433,13332
13053,14714,14781,232492,234150,236510,237348,240818,242242,246896,251981,255269,262122,265128,271863,276521
13055,24674,25158,15047,15780,18043,15289,15515,14096,11828,11965,11624,11955,11267,11317,12632
