FIPS,x,y,Cancer,Poverty,Smoking,PM25,NO2,SO2
13111,1056523.936,1376613.19,72,15.92,27.93333333,11.75533333,0.977666667,0.064184954
42115,1653442.064,2267301.476,59,12.22,26.96666667,9.026,1.499933333,0.03321098
42075,1633708.275,2096683.059,61,8.986666667,25.27333333,11.96333333,3.616466667,0.120281334
51683,1584048.852,1901443.401,62,7.86,22.9,12.73133333,3.621933333,0.118371127
36057,1735811.102,2409536.493,59,14.74666667,27.18,8.302,1.632733333,0.006404368
13149,1003646.751,1193901.75,86,17.50666667,30.21333333,12.27133333,1.6258,0.138780485
37153,1463896.202,1452940.213,79,21.93333333,29.48,12.71066667,1.487333333,0.022304498
51735,1716542.533,1743450.717,61,4.646666667,21.23333333,11.84333333,2.520266667,0.057279707
37003,1320295.845,1533038.997,64,12.67333333,27.77333333,11.55666667,1.7928,0.090705483
37063,1520852.145,1580156.875,65,14.81333333,19.58,12.35666667,1.937466667,0.06037865
36093,1768117.621,2407434.527,62,11.24666667,23.78666667,8.767333333,2.0944,0.006131673
51590,1463355.628,1632109.561,72,21.37333333,29.71333333,11.47266667,2.113266667,0.126120542
51600,1597510.11,1916180.732,41,5.573333333,15.58,13.132,4.147,0.13029202
51530,1445710.523,1759556.916,61,13.16666667,31.7,10.12466667,1.666666667,0.028030571
37181,1555147.596,1623916.995,79,22.22,29.66,11.73133333,1.738866667,0.064398226
13003,1240686.99,999295.872,93,24.16,28.28666667,11.87,0.636,0.007735251
51081,1622534.834,1672340.575,78,20.35333333,28.42,11.92733333,1.584866667,0.043300666
36015,1568845.615,2286060.403,73,14.36,26.11333333,9.176666667,1.640066667,0.041286954
51790,1462544.758,1811357.668,63,13.55333333,25.05333333,10.766,1.5146,0.033238452
37157,1434932.939,1605912.888,78,14.52666667,31.1,11.486,2.297333333,0.1052822
13119,1161855.577,1335144.383,72,16.56666667,27.51333333,12.73133333,1.394466667,0.030687529
42001,1581875.064,2029400.655,56,7.6,24.32,12.94466667,3.292466667,0.113010656
51540,1514326.824,1806985.039,53,19.77333333,23.18666667,11.30533333,1.984533333,0.033495497
24510,1644880.387,1977469.45,87,20.96,28.99333333,14.09,5.1886,0.146629183
42105,1485798.53,2224296.623,68,13.48,27,9.63,1.641466667,0.056870652
13173,1227378.725,968358.8725,89,21.00666667,28.51333333,11.602,0.651733333,0.007598222
13169,1151573.414,1181611.119,62,11.68666667,24.82,12.27866667,1.468666667,0.139995631
36109,1584749.021,2324857.448,52,15.81333333,16.21333333,9.181333333,1.777533333,0.032778433
36053,1638111.937,2388843.96,67,10.93333333,24.82666667,8.768,1.846866667,0.013151125
37007,1432790.709,1443984.99,66,20.93333333,28.37333333,12.72266667,1.685533333,0.029624066
37195,1611858.913,1559545.423,71,19.19333333,25.69333333,13.01866667,1.695066667,0.017671372
54077,1385413.786,1946823.68,62,16.44,28.66,10.95533333,2.3982,0.250782854
51089,1420848.109,1636040.467,65,14.69333333,30.15333333,10.89533333,1.855,0.091236621
51099,1622210.598,1854839.183,74,6.793333333,21.59333333,12.08266667,2.948666667,0.125150723
42047,1431155.363,2177641.106,64,8.88,27.58666667,10.53466667,1.742266667,0.115719854
42053,1381551.31,2178527.873,74,17.62666667,30,10.91066667,2.315866667,0.122241604
13247,1099839.163,1245707.827,62,11.68666667,22.44,13.13333333,3.7826,0.135322848
42079,1653351.821,2193500.035,65,12.32666667,28.84666667,9.622666667,2.4324,0.075286871
36005,1834509.187,2196946.254,45,27.97333333,23.25333333,11.748,11.64453333,0.039877724
42113,1604588.651,2214031.262,63,12.98,26.98666667,9.344,1.614866667,0.086849193
42021,1444689.53,2074193.143,57,13.27333333,26.94666667,11.18733333,3.099533333,0.263529537
45037,1285877.942,1284646.665,58,18.08,26.04,12.18666667,1.290266667,0.024738322
42037,1622394.822,2172315.89,56,12.44666667,25.78,10.06,2.702,0.115677531
51003,1508276.716,1804173.952,53,7.726666667,16.52666667,11.18733333,1.7494,0.033366864
37151,1445280.416,1529734.553,71,13.18,28.74666667,12.40466667,2.2968,0.057280666
36021,1816659.884,2353655.649,64,10.28,23.51333333,8.988,2.0608,0.010004799
34023,1800141.087,2141559.363,53,7.126666667,18.71333333,11.63666667,6.869533333,0.050961628
13175,1218893.132,1127443.529,70,20.53333333,25.94666667,12.17733333,0.846866667,0.030264103
13133,1179492.3,1247682.041,60,20.29333333,25.23333333,12.434,1.344666667,0.101512916
13017,1201807.39,1045952.93,96,23.05333333,28.68666667,12.47533333,0.646466667,0.01071437
13277,1177578.936,1008758.602,70,21.71333333,26.18,12.75466667,0.709266667,0.008984232
13065,1262954.262,959490.1139,104,23.44,29.1,11.29533333,0.5954,0.010513754
51570,1623811.322,1739869.115,72,7.573333333,28.4,11.83066667,2.799066667,0.079022377
37081,1439791.529,1570775.945,61,14.43333333,23.26666667,12.17266667,2.711333333,0.088706873
51640,1330087.373,1619263.778,79,19.74666667,31.58,9.587333333,1.330133333,0.042831727
51670,1631867.742,1744490.814,101,16.50666667,32.39333333,11.836,3.2466,0.08019077
13023,1181765.025,1119115.174,85,17.57333333,27.9,12.23266667,0.881733333,0.038834418
13029,1363361.497,1097965.828,92,10.56,23.74666667,11.306,0.949533333,0.010313017
13109,1319776.971,1107445.306,75,23.98,28.52666667,11.85,0.826466667,0.011627792
13171,1097548.858,1180372.835,80,16.28666667,28.16666667,12.32066667,1.6782,0.130991601
13195,1167461.434,1307970.612,85,14.76,27.47333333,12.796,1.343933333,0.043572274
51720,1176211.402,1625932.365,87,19.52666667,31.21333333,9.728666667,2.209,0.057382373
51830,1683120.473,1752365.459,48,18.90666667,17.66666667,11.94733333,2.523466667,0.06950066
36043,1681804.141,2456217.556,60,13.16,25.12,7.756666667,1.204733333,0.005746315
36007,1643936.98,2304050.692,58,14.11333333,23.94666667,8.944,1.687333333,0.024850571
51750,1353126.639,1674729.088,78,23.04,22.76666667,9.702,1.917866667,0.034742502
54047,1253566.396,1687978.492,106,34.46666667,34.96,9.408666667,1.168266667,0.03828383
54033,1329015.139,1916161.457,84,17.36666667,28,11.68333333,2.949733333,0.210726373
54007,1310840.99,1846926.185,78,21.61333333,30.92666667,10.63066667,1.652,0.102185634
13021,1142177.553,1155786.935,75,21.44,25.35333333,12.65533333,1.3396,0.100164584
51550,1731568.728,1694759.535,72,8.193333333,21.58666667,10.29,2.3896,0.043557652
36049,1634724.239,2487703.529,61,13.64,26.76666667,7.936666667,1.520533333,0.006190014
37029,1746713.975,1664623.636,66,9.473333333,23.39333333,9.948,1.659933333,0.024237535
42007,1305889.304,2071193.128,65,10.99333333,27.33333333,13.158,5.270933333,0.312501187
13009,1179525.219,1190286.64,68,20.94666667,26.47333333,12.322,1.3204,0.1200595
42025,1682297.897,2170140.233,68,10.06,29.44666667,9.887333333,3.412066667,0.072730595
13177,1115419.382,1036903.959,77,9.926666667,24.68,12.45266667,0.884333333,0.012986966
24011,1720531.915,1943797.185,80,11.59333333,25.52,12.92866667,4.189066667,0.08052073
13083,949876.9767,1363028.669,90,14.02666667,26.56,12.678,2.0276,0.097772433
13131,1119076.387,935895.365,77,22.2,27.09333333,11.876,0.645266667,0.00789093
54089,1317582.555,1729447.166,70,24.83333333,30.33333333,9.448666667,1.3772,0.037281857
13143,989780.5921,1248202.62,89,17,30.24666667,12.64266667,1.5934,0.204562146
13227,1048750.481,1330599.247,74,11.52666667,26.40666667,12.84866667,1.5288,0.122754787
42109,1574275.135,2130545.407,52,10.56,25.57333333,11.046,3.1288,0.144884251
51690,1421799.935,1636136.484,80,20.12666667,28.96,10.94466667,1.848133333,0.090804627
36017,1652705.228,2344047.232,63,14.2,26.08666667,8.732666667,1.443333333,0.016552842
13275,1149153.54,938437.0275,78,20.18,25.81333333,11.886,0.669133333,0.007555336
37041,1717104.377,1631166.367,69,18.54666667,26.00666667,10.55933333,1.296266667,0.020002733
37169,1394188.124,1599626.409,77,11.90666667,30.93333333,11.198,1.993266667,0.087910654
54069,1294167.135,2002786.432,76,15.28,28.36666667,13.43333333,4.545066667,0.406559049
51775,1393922.749,1700093.235,71,8.753333333,26.52666667,10.322,2.206066667,0.034263399
51630,1593702.528,1852059.96,69,14.9,24.49333333,12.024,2.721933333,0.106019507
13097,1031382.337,1242709.45,73,10.76,24.77333333,13.25333333,2.909266667,0.206280792
37069,1571748.504,1594889.666,72,14.1,26.08,12.15733333,1.711933333,0.038521283
13139,1109248.869,1321624.535,62,13.34,24.87333333,13.088,1.556533333,0.054985529
37149,1242895.468,1448685.554,53,12.36,23.83333333,11.25866667,1.763133333,0.059930607
13243,1058282.459,1027981.069,69,27.06,27.09333333,11.98533333,0.720533333,0.013834109
13283,1252655.898,1125410.716,86,26.58666667,29.05333333,12.074,0.699733333,0.019636071
37109,1323677.525,1484314.988,66,11.66666667,26.34666667,12.20333333,2.459466667,0.115437795
36035,1731906.788,2432891.232,65,14.28,27.58666667,8.024,1.350866667,0.005243562
36097,1553949.123,2311832.582,67,12.36666667,25.81333333,9.096666667,1.772,0.039672887
37077,1535005.921,1613210.202,76,13.83333333,27.14666667,11.71133333,1.764733333,0.075356169
51730,1625527.449,1733268.28,97,20.62,29.52666667,11.636,2.496133333,0.074446439
13101,1248348.27,934440.3294,73,23.71333333,28.58666667,11.18266667,0.6676,0.009702606
42009,1473184.117,2023798.399,52,11.92666667,26.82666667,11.02666667,2.842666667,0.158886417
13189,1243553.429,1245820.702,94,19.44666667,28.29333333,12.42133333,1.410066667,0.045470302
13081,1148323.713,1057203.733,78,27.50666667,27.83333333,12.63066667,0.806333333,0.014370813
51710,1730261.754,1719321.773,78,19.39333333,25.38666667,11.14066667,2.617333333,0.049621813
51065,1535867.509,1788758.043,55,6.973333333,23.19333333,11.23133333,1.841466667,0.041039072
37001,1474728.089,1572762.401,69,13.5,27,11.9,2.298466667,0.078810443
13179,1361780.107,1076726.915,76,17.19333333,25.43333333,11.11933333,0.8934,0.009774712
13239,1032302.684,1036603.891,93,23.98666667,28.82666667,12.018,0.760133333,0.015273258
51137,1549999.877,1837565.678,68,9.053333333,25.82666667,11.49733333,2.199933333,0.057854525
54017,1301653.502,1910050.185,76,19.32,31.52666667,11.968,3.158266667,0.223853046
13201,1068274.984,962213.1331,78,21.99333333,26.76666667,12.52266667,0.661933333,0.010339054
34011,1768774.33,2011919.092,70,15.23333333,28.11333333,12.91466667,3.487733333,0.045609201
13135,1095759.988,1279796.436,53,9.273333333,19.22666667,13.40666667,3.243666667,0.104596959
42019,1337590.339,2102567.407,59,8.333333333,23.4,12.604,4.383266667,0.286625125
36091,1776076.011,2442465.765,63,6.593333333,21.13333333,8.527333333,2.015266667,0.004390669
37107,1646302.997,1513043.27,73,20.23333333,27.35333333,12.118,1.4862,0.012877913
13215,1037083.188,1109400.014,74,17.92,24.95333333,12.68866667,0.9664,0.036799276
42077,1699112.311,2138770.953,56,10.36666667,24.28666667,11.43933333,4.451666667,0.072346667
13089,1079948.559,1256389.654,52,15.00666667,18.88,13.422,4.4912,0.140996438
51183,1642946.115,1704445.424,84,19.40666667,27.91333333,11.49266667,1.908266667,0.058643347
51840,1517023.255,1936981.425,78,13.45333333,27.10666667,11.83933333,2.989666667,0.081773593
37093,1509167.122,1462165.108,82,17.87333333,27.16666667,12.834,1.599666667,0.017354063
42083,1429885.045,2220922.964,73,14.33333333,28.52666667,10.05,1.466866667,0.071557137
45061,1434148.183,1352336.958,81,26.19333333,29.28666667,12.572,1.3402,0.038363087
45051,1552375.47,1345424.088,70,15.16,29.98666667,10.71666667,1.072,0.027848615
37031,1742993.493,1485548.212,75,12.74666667,26.84,8.127333333,0.82,0.007016134
45005,1354654.169,1206555.333,72,35.26,27.74666667,11.34533333,0.9478,0.02473639
37039,1075668.387,1409410.991,69,17.08666667,27.97333333,11.29533333,0.9582,0.047794317
36027,1820406.179,2298754.25,60,8.1,21.64,9.426,2.402666667,0.01841173
13223,1019493.25,1265907.639,74,7.593333333,25.84,13.292,2.622066667,0.220265044
13117,1082914.224,1307948.074,52,5.6,18.55333333,13.46266667,1.844266667,0.090544611
42131,1643088.775,2230410.228,64,10.86,26.07333333,9.138666667,2.1882,0.055272458
54075,1378205.378,1816237.449,74,17.68,28.20666667,9.215333333,0.9346,0.044613198
13053,1047514.925,1092319.577,88,18.64,20.62666667,12.27533333,0.788733333,0.028402561
54019,1291852.933,1767655.85,95,21.61333333,31.48666667,9.795333333,1.633333333,0.070849713
54101,1339894.375,1828331.821,89,27.11333333,31.50666667,9.648,1.1206,0.062105957
37185,1580830.177,1632431.425,61,22.88,27.20666667,11.71466667,1.617666667,0.045477709
13191,1375560.829,1041347.409,69,19.58666667,27.81333333,10.686,0.7158,0.01113753
13311,1111168.399,1358919.711,61,13.81333333,24.90666667,11.89466667,1.216533333,0.036456967
51153,1585461.893,1896563.543,62,5.58,20.53333333,12.45733333,3.242533333,0.109487893
37085,1534801.605,1506770.297,76,16.22,27.13333333,13.02066667,1.676866667,0.018872703
45067,1516215.834,1357000.88,79,24.65333333,28.66,11.63733333,1.219466667,0.028252022
36123,1530166.579,2334378.468,64,14.02,24.79333333,9.015333333,1.724466667,0.039520381
13267,1305712.571,1092823.631,92,25.6,28.5,11.97,0.7536,0.010500177
13321,1145798.959,1015128.398,71,19.61333333,27.99333333,12.538,0.7988,0.010234082
45035,1440375.919,1230614.934,64,11.23333333,24.40666667,10.73666667,1.241466667,0.044484932
36069,1509820.646,2355302.693,64,8.846666667,21.54,9.15,1.925866667,0.038785772
13057,1050761.13,1306115.374,61,6.9,22.27333333,13.41933333,2.4658,0.152438517
13161,1255596.036,1058523.507,99,20.23333333,27.54,12.16466667,0.671133333,0.009300602
13069,1239676.066,1027479.846,74,22.30666667,27.84666667,12.26266667,0.6426,0.008462469
36073,1427249.188,2384624.13,69,12.96,28.18,10.236,3.3304,0.044723983
36101,1515917.072,2289805.219,73,14.04,25.55333333,8.947333333,1.434266667,0.040500091
34021,1780222.646,2119053.231,54,9.12,19.90666667,11.80266667,5.281866667,0.055527646
13255,1081737.822,1199158.137,78,18.62,28.1,12.452,1.939,0.149703155
54051,1294707.942,1976028.343,74,15.62,30.70666667,13.07266667,4.182133333,0.386921674
54029,1290225.113,2050386.631,77,12.44,30.7,12.98533333,4.887533333,0.334911688
42133,1621663.153,2043017.974,59,8.046666667,24.26666667,12.976,3.753866667,0.127608038
37115,1186006.548,1505916.697,64,16.96666667,27.21333333,10.14666667,1.2564,0.045084359
37133,1676336.57,1460888.579,80,15.22,26.54,9.95,0.993533333,0.013750033
54013,1274478.73,1857390.209,87,22.74,32.95333333,11.51933333,2.135666667,0.184781843
51125,1484760.238,1773042.453,70,11.76,24.68,10.714,1.6068,0.029505235
51680,1466332.778,1725627.038,73,18.90666667,25.04,11.02066667,1.818466667,0.035563315
13281,1108099.219,1389069.294,61,13.9,24.78666667,11.24733333,0.8272,0.03193818
13225,1133468.486,1127832.389,90,21.42,25.57333333,12.34,1.1298,0.062417203
51063,1373699.002,1656374.609,49,12.24,26.48,9.65,1.364,0.049349769
36029,1397300.328,2323592.893,67,13.28,24.30666667,10.39933333,2.8934,0.05711464
13151,1091082.441,1221936.754,68,7.786666667,22.52666667,12.828,2.972,0.155174237
51520,1222120.615,1597141.253,94,18.8,28.81333333,10.36266667,2.103133333,0.045761823
54065,1501884.099,1978349.929,80,12.14,29.8,11.454,3.229733333,0.09698803
51103,1693664.731,1807551.068,66,13.46,23.46,11.41333333,1.771333333,0.056949109
36121,1439265.332,2324433.93,60,10.36,27.28666667,9.487333333,1.900466667,0.048157697
42081,1561950.648,2193635.395,61,12.75333333,26.18666667,9.878666667,2.324466667,0.097097508
51017,1406203.336,1789944.572,69,9.013333333,27.05333333,9.51,1.360866667,0.031966773
51131,1752689.964,1775435.961,94,19.72666667,25.65333333,10.22733333,2.277266667,0.035814662
37057,1407800.143,1532761.676,73,13.04666667,28.97333333,12.45466667,2.689266667,0.076664917
37155,1528493.411,1422787.013,78,27.67333333,31.03333333,12.62733333,1.4948,0.01660844
42097,1602057.96,2145493.006,63,12.42,28.08666667,10.73533333,2.723666667,0.147714748
42121,1341070.721,2158752.11,72,14.47333333,29.29333333,11.614,3.263333333,0.145555821
51197,1311583.651,1644628.34,72,13.60666667,29.03333333,9.462666667,1.188666667,0.030809531
54045,1221701.597,1734554.266,120,22.09333333,33.81333333,10.21066667,2.0086,0.088614108
13213,1018911.294,1363530.392,97,15.28,31.04666667,12.724,1.828133333,0.102093803
37013,1709880.255,1554745.801,77,18.38666667,25.44666667,10.264,1.271133333,0.009340984
37113,1132960.345,1418734.132,58,14.99333333,26.43333333,10.33933333,0.743533333,0.027987447
36009,1412014.758,2267732.697,64,14.83333333,27.32,9.815333333,1.8274,0.062639113
36055,1471985.02,2381307.728,58,13.00666667,21.5,9.776,3.0206,0.040782406
34015,1757950.477,2048967.108,74,6.8,24.17333333,12.68266667,5.456533333,0.053715548
13037,1073561.977,1003649.305,81,30.94,26.66,12.17266667,0.751066667,0.011407108
54039,1248201.79,1795739.978,87,14.71333333,28.16,11.28733333,2.838533333,0.173502213
11001,1620145.774,1926595.621,62,17.8,22.08,13.512,5.445133333,0.149480163
45085,1427140.308,1323124.199,68,17.94,26.52,12.34666667,1.3676,0.047499713
51043,1533134.273,1933160.16,68,7.1,23.06666667,12.00733333,3.052133333,0.084447852
54021,1295165.507,1869902.771,71,23.96666667,29.19333333,11.466,2.0594,0.154926879
34033,1743771.149,2031005.452,73,9.773333333,25.06666667,13.34266667,4.574466667,0.057401127
13193,1116496.715,1102091.278,73,27.00666667,28.44666667,12.25333333,1.0106,0.036778614
13263,1066361.408,1134167.661,84,20.86,26.7,12.35666667,0.9238,0.062907262
13093,1142014.884,1082724.612,54,25.5,28.05333333,12.43866667,0.8602,0.022368158
51133,1693700.158,1825328.974,63,12.88,24.08666667,11.51333333,1.921,0.070302289
37105,1505940.861,1513658.565,73,14.4,26.29333333,12.83333333,1.705,0.02582737
45027,1446754.817,1298002.946,71,24.02,26.77333333,11.794,1.274266667,0.053875999
37127,1600385.578,1587248.999,70,15.25333333,25.6,12.644,1.635666667,0.024683401
51620,1676303.202,1683927.061,73,18.78,26.34666667,11.38333333,1.793933333,0.04932482
51049,1545565.804,1752895.876,67,15.27333333,27.97333333,11.28133333,1.7732,0.049144742
51037,1519860.206,1691095.398,77,16.97333333,27.1,11.13466667,1.7392,0.063611694
51115,1710730.906,1777230.966,60,8.986666667,24.13333333,11.85933333,1.879933333,0.054094095
51119,1686849.317,1794380.822,75,12.44,24.02,11.59866667,2.022266667,0.070397411
51015,1456078.917,1810843.496,63,8.226666667,25.95333333,10.19066667,1.487066667,0.0339999
54003,1523121.264,1971372.329,85,11.32,29.97333333,12.18866667,3.4102,0.090112598
37163,1586724.023,1473472.829,71,19.37333333,27.38,12.51066667,1.355133333,0.016449593
51117,1552612.154,1659453.181,74,16.14666667,28.27333333,11.50466667,1.677533333,0.071183425
37035,1321432.026,1503977.361,69,12.14,25.78,11.99,2.247333333,0.108931048
13049,1318756.006,952508.0788,83,23.02666667,30.75333333,10.73533333,0.753,0.023360332
37191,1611551.667,1520555.882,76,17.38666667,26.9,12.89266667,1.736933333,0.014442434
36023,1613685.107,2347274.963,65,14.45333333,24.92,8.912,1.686666667,0.02249919
37059,1376002.495,1542989.916,60,10.05333333,25.97333333,12.12933333,2.326533333,0.09012095
13291,1086530.75,1376942.086,62,14.79333333,25.21333333,11.34733333,0.900933333,0.043418764
36037,1435433.15,2357644.153,67,10.15333333,25.44,10.012,2.558533333,0.045821095
51159,1666241.838,1825977.972,68,17.26666667,28.79333333,11.484,2.175866667,0.08299332
13115,983511.4296,1300252.571,81,17.04,26.82666667,13.256,2.2278,0.189847276
45009,1378521.094,1235921.641,65,25.44,25.5,11.29066667,1.0986,0.034552977
42023,1467229.207,2185659.851,63,11.69333333,28.05333333,10.09733333,1.740466667,0.091801556
24009,1666038.768,1894678.827,68,5.46,22.88666667,12.58533333,2.8886,0.133364234
51127,1652922.898,1773161.116,80,5.626666667,24.48,11.34733333,2.578533333,0.083857622
13055,968986.5888,1322457.969,87,17.49333333,30.50666667,13.202,1.927666667,0.15694681
13241,1138683.737,1389143.35,68,14.74,24.92,11.10266667,0.7984,0.026398006
42117,1537131.813,2237598.109,60,13.80666667,25.39333333,9.308666667,1.612666667,0.05207866
45021,1295852.481,1430438.159,79,17.1,30.26666667,12.254,1.971,0.074208924
