"FIPS","x","y","cancer","poverty","smoking","PM25","NO2"
13111,1056523.93575797,1376613.19038105,73.06752222,14.8,27.9,12.18,0.995
42115,1653442.06448059,2267301.47632015,58.86564171,11.9,27.1,9.23,1.434
12049,1403894.26642268,597064.26832158,60.28882313,23.6,27,9.04,0.858
42075,1633708.27522918,2096683.05912288,61.57363546,8.7,25.7,12.17,3.936
51683,1584048.851638,1901443.40123556,60.89438673,7.4,23.2,13.64,4.293
12015,1403406.17127847,531558.61636462,58.82022766,9.6,28.4,8.15,0.685
36057,1735811.10244197,2409536.49282552,59.99460214,13.9,28,7.97,1.468
13149,1003646.75130354,1193901.75028757,86.19504825,16.4,30.2,13.05,1.723
12003,1312076.98188927,900951.55362396,92.50617529,14.5,29.9,11.18,0.71
37153,1463896.20214287,1452940.21262024,78.47193342,20.6,30,13.34,1.521
51735,1716542.53258685,1743450.71661537,61.2288899,4.6,20.8,12.35,2.605
37003,1320295.84469348,1533038.99748472,63.785422,11.8,27.9,11.92,1.79
37063,1520852.14526388,1580156.87541623,65.23851664,14.2,19.2,13.65,2.124
36093,1768117.62093844,2407434.52678203,62.06752096,11.4,23.8,8.57,1.795
12067,1232027.78507595,850995.65186521,81.50657941,23.3,30.8,11.1,0.653
51590,1463355.62764594,1632109.56123386,72.73879267,20.8,30.6,12.35,2.464
51600,1597510.10994801,1916180.73192248,40.528709,5.5,15.5,14,5.057
51530,1445710.523302,1759556.91563791,61.38935454,12.6,32,11.03,1.497
12099,1550937.48311462,525952.31890135,49.56140891,10.9,23,6.8,0.922
37181,1555147.59599418,1623916.99457841,80.41993861,22.4,29.8,12.8,1.663
13003,1240686.99032683,999295.87202687,93.92538663,22.7,27.8,12.76,0.699
51081,1622534.83444516,1672340.57486588,78.74856389,19.3,28.3,12.87,1.767
51678,1436877.61650012,1763834.09110595,57.17096661,20.1,19.8,12.82,3.199
36015,1568845.61527928,2286060.40341933,72.70324693,14.6,26.6,9.16,1.736
51790,1462544.75751403,1811357.66767174,63.84504065,13.5,25.8,11.82,1.27
37157,1434932.93889,1605912.88776495,78.82192298,14.8,31.5,11.87,2.804
13119,1161855.57684326,1335144.38336622,71.63509672,15.5,28,13.01,1.391
42001,1581875.06371543,2029400.65454783,56.41947426,7.4,25.2,13.31,3.367
51580,1390441.43066113,1755400.21387911,81.4155069,14.2,30.6,7.8,2.775
51540,1514326.82448617,1806985.03936681,53.42070072,20.2,22.6,11.47,2.004
24510,1644880.38685511,1977469.44995008,86.92570251,20.2,29.2,14.13,5.261
42105,1485798.53017648,2224296.62340354,68.51229536,13.8,27.3,9.61,1.11
13173,1227378.72459704,968358.87253628,88.66507791,21,28.9,12.4,0.692
13169,1151573.41355689,1181611.1185501,62.71961125,11.5,25.2,13.03,1.448
36109,1584749.02135756,2324857.44809049,52.8468416,17.3,16.9,9.35,1.589
36053,1638111.93745456,2388843.96044308,67.86360705,11,25.4,8.54,1.949
12119,1357680.75874056,725495.98674487,49.78656828,14.4,28.7,10,1.253
51595,1624143.50140298,1674906.51969828,78.74856389,18.7,27.5,7.99,2.956
37007,1432790.70886708,1443984.98999735,65.93485017,21.3,28.3,13.05,1.8
37195,1611858.91264673,1559545.4233534,71.88983619,18.4,25.4,14.07,1.731
54077,1385413.78616937,1946823.67978909,62.66840137,16.5,28.5,11.27,2.153
51089,1420848.10888554,1636040.46727891,65.13223246,14.4,30.4,11.35,2.188
51099,1622210.59848045,1854839.18323321,73.98948584,6.9,21.6,12.89,3.22
42047,1431155.36303039,2177641.10597873,64.48746809,8.8,27.1,10.74,1.829
42053,1381551.3097739,2178527.87259128,75.39772912,16.9,30,11.41,1.856
13247,1099839.16272316,1245707.82725672,61.7758907,11.4,22.2,13.37,4.011
42079,1653351.82094746,2193500.03494792,64.82592571,11.7,29.3,9.6,1.72
36005,1834509.18670735,2196946.25393033,45.11508037,28.2,23.8,11.83,11.325
42113,1604588.65069991,2214031.26152702,63.70870559,12.6,27.4,9.12,1.363
42021,1444689.52965458,2074193.1431541,56.78964692,13.1,26.7,11.36,2.986
45037,1285877.94209102,1284646.66532041,58.77648287,17.8,26.6,12.2,1.17
42037,1622394.82238913,2172315.89030272,56.27507251,11.8,25.6,9.99,1.926
51003,1508276.71558586,1804173.95232528,53.42070072,7.3,16.2,11.24,1.852
37151,1445280.41571435,1529734.5534441,71.37385154,14.1,29,13.18,2.252
36021,1816659.88364788,2353655.64883691,64.63653234,10,24.1,9.06,1.66
34023,1800141.08666831,2141559.36324173,51.09874538,7.1,19.2,11.93,6.896
13175,1218893.13154069,1127443.52851146,70.29108399,19.7,25.9,12.99,0.959
13133,1179492.30027896,1247682.0413732,60.01915394,19.8,25.3,13.01,1.366
12041,1272333.21297902,827477.06578838,81.01360922,16.7,29,10.7,0.738
13017,1201807.38999188,1045952.9295265,96.04426568,21.1,28.8,13.08,0.718
13277,1177578.93565882,1008758.60213349,71.00487053,21,26.1,13.26,0.786
13065,1262954.26209225,959490.11386122,104.1068397,24,29.5,12.06,0.605
51570,1623811.32169323,1739869.11453668,72.57413945,7.3,28.6,13.08,3.043
37081,1439791.52881174,1570775.94516181,61.0421872,14.7,23.5,12.76,2.828
51640,1330087.37272231,1619263.77777564,78.92320485,19.1,32.6,9.43,1.025
51670,1631867.74183927,1744490.81361504,102.2091703,16.4,31.7,13.09,3.65
51685,1587033.28659708,1904615.11917493,60.89438673,6.5,20.6,8.09,2.34
12027,1408911.2802529,563675.77663551,58.1614143,21.6,30,8.46,0.813
12111,1537256.29681578,605171.88056737,64.03479046,12.9,28.9,7.02,0.576
13023,1181765.02453939,1119115.17353792,85.05310888,17.2,28.4,12.99,0.918
13029,1363361.49709074,1097965.82838378,93.11620794,10.5,24.1,11.24,0.911
13109,1319776.97124756,1107445.30619155,75.73921149,23.6,28.8,12.12,0.866
12011,1557577.25285593,471887.7455638,55.10188964,11.6,21.9,6.34,1.265
13171,1097548.85829015,1180372.83546109,80.20887708,15.7,28.7,12.99,1.769
13195,1167461.43442063,1307970.61239023,84.73897479,14.3,27.4,13,1.395
51720,1176211.4017674,1625932.36527529,89.09205974,19.5,31.4,10.51,1.935
51830,1683120.47340229,1752365.45883118,46.9390289,19.1,17.9,12.43,2.364
36043,1681804.14074171,2456217.55581797,60.46725079,12.7,26.2,7.41,1.108
36007,1643936.97985028,2304050.69184972,58.43012124,13.8,24,9.02,1.423
51750,1353126.6388648,1674729.08773944,78.59047791,24,22.8,9.99,1.707
54047,1253566.3964415,1687978.49182614,106.3506585,34.2,35,9.89,1.244
54033,1329015.13914947,1916161.45746709,84.12435938,17.3,27.4,12.18,2.919
54007,1310840.98960985,1846926.1854741,78.36884309,21.6,30.8,11.41,1.437
12019,1358311.27989628,868759.32503507,75.40089839,7.7,25.3,10.22,0.995
13021,1142177.55273232,1155786.93492224,75.04710993,21.1,25.7,13.37,1.416
51550,1731568.72781644,1694759.53467764,73.06817025,8,20.7,10.59,2.087
36049,1634724.23913079,2487703.52854928,61.48629564,13.5,27.3,8.03,1.258
37029,1746713.9754391,1664623.63634712,66.46957835,8.9,23.2,10.23,1.398
42007,1305889.30404938,2071193.12816022,65.3116361,10.8,27.1,14.09,5.519
13009,1179525.21909272,1190286.64021064,67.79438762,19.3,26.7,13.07,1.452
42025,1682297.89685572,2170140.23292847,68.09177725,10,29.7,10.03,2.875
13177,1115419.38168284,1036903.95884731,77.67789439,9.6,24.6,13.01,0.878
24011,1720531.9145272,1943797.18528228,79.96774428,11,25.2,13.79,4.018
12091,897686.49375753,890561.60977355,74.24232132,9.8,25.5,10.97,0.744
12117,1439246.64005762,739218.5898323,57.16102645,9.1,22.5,9.08,1.072
13083,949876.97665066,1363028.66902798,90.16537235,13.3,27.1,12.4,2.135
13131,1119076.38703979,935895.36496429,79.23505099,22.2,26.8,12.32,0.615
54089,1317582.55547509,1729447.16614036,70.74194719,24.7,30.8,9.81,1.523
13143,989780.59211611,1248202.6198663,89.2637803,15.9,30.7,13.16,1.496
13227,1048750.48141596,1330599.24678099,74.28746548,11.3,26.4,13.12,1.672
42109,1574275.13476678,2130545.40682574,52.49769294,9.9,26.1,11.87,2.114
51690,1421799.93461668,1636136.4841892,80.13584748,20.2,29.5,11.37,2.24
36017,1652705.22824655,2344047.23218096,63.28898744,13.7,26.3,8.51,1.394
13275,1149153.53970236,938437.02751362,77.88509944,18.9,25.6,12.49,0.649
37041,1717104.3772158,1631166.36710087,69.26657939,17.9,26.1,10.93,1.279
37169,1394188.12359385,1599626.40863013,77.17280483,11,31.3,11.44,1.936
54069,1294167.13516881,2002786.43217223,75.87565423,14.9,28.2,14.57,4.094
51775,1393922.7489693,1700093.23514564,72.05712526,8.5,25.8,11.07,2.052
51630,1593702.52799305,1852059.95993372,68.62328291,14.4,25.5,12.71,2.962
13097,1031382.33703217,1242709.44991509,73.45015616,10,24.1,13.87,3.191
37069,1571748.50385979,1594889.666065,73.17018903,13.7,26.2,13.38,1.694
13139,1109248.8688261,1321624.53510442,62.54386542,12,25.4,13.22,1.58
37149,1242895.46808092,1448685.55388579,53.64040277,11.3,23.9,11.5,1.714
