SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LONG_DEG,LAT_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,As,Al,B_,Ba,Ca,Co,Cr,Cu,Fe,K_,Li,Mg,Mn,Na,P_,Si,SO4,Sr,V_,Zn
S98_02701,RIP1640,9/5/1998,90.093,22.372,1993,DTW,322,Barisal,Jhalakati,Kathalia,Amua,Banshbaria,1424315169,0.5,< 0.04,1.2,0.25,92.9,< 0.008,< 0.02,< 0.008,0.103,9.1,0.015,52.8,0.182,1690,2.6,7.85,< 0.2,1.52,< 0.006,0.028
S98_02715,RIP2184,16/04/1998,89.41,23.942,1977,STW,42,Rajshahi,Pabna,Sujanagar,Sujanagar,Sujanagar,5768385915,0.5,< 0.04,0.03,0.06,91.2,< 0.008,< 0.02,< 0.008,0.087,1.4,0.003,36.6,1.79,52.4,0.4,19.9,< 0.2,0.424,0.007,0.017
S98_02979,RIP0490,2/6/1998,91.603,24.572,1995,STW,38,Sylhet,Habiganj,Nabiganj,Debpara,Fatarchar,6367721334,0.5,< 0.04,0.02,0.075,14.7,< 0.008,< 0.02,< 0.008,1.37,2.6,< 0.003,6.59,0.146,60.4,0.3,20.8,< 0.2,0.159,< 0.006,< 0.008
S98_02992,RIP0506,4/6/1998,91.175,23.791,1989,STW,20,Chittagong,Brahamanbaria,Kasba,Gopinathpur,Gopinathpur,2126350395,0.5,< 0.04,< 0.01,0.027,14.5,< 0.008,< 0.02,< 0.008,0.128,1.8,< 0.003,4.57,0.023,22,< 0.2,27.8,2.5,0.144,< 0.006,< 0.008
S98_03108,RIP1056,26/03/1998,89.555,22.811,1997,DTW,310,Khulna,Khulna,Khulna Metro,Ward 06,Bakshipara,4476306047,0.5,< 0.04,0.17,0.113,38.4,< 0.008,< 0.02,< 0.008,0.019,5.3,0.006,23.2,0.027,141,< 0.2,14.1,< 0.2,0.369,< 0.006,< 0.008
S98_03167,RIP1124,4/4/1998,89.402,23.301,1992,STW,55,Khulna,Magura,Shalikha,Shalikha,Sarusuna,4558559865,0.5,< 0.04,0.09,0.067,87.4,< 0.008,< 0.02,< 0.008,0.042,1.5,0.005,39.1,0.585,123,< 0.2,21.5,3.9,0.436,< 0.006,< 0.008
S98_03244,RIP1214,4/3/1998,89.467,23.462,1997,STW,53,Khulna,Magura,Magura Sadar,Chaulia,Buzruk srikundi,4555727265,0.5,< 0.04,0.02,0.035,71.9,< 0.008,< 0.02,< 0.008,0.036,1.8,0.01,19,0.54,13.7,< 0.2,20.9,2.3,0.285,< 0.006,< 0.008
S98_03652,RIP1698,7/5/1998,90.114,22.578,1998,DTW,282,Barisal,Jhalakati,Rajapur,Suktagarh,Narikelbaria,1428481649,0.5,0.02,0.8,0.028,8.4,< 0.003,< 0.002,< 0.008,0.158,3.5,0.012,5.14,0.019,350,0.3,10.9,0.3,0.11,< 0.002,0.005
S98_03668,RIP1716,7/5/1998,90.175,22.681,1996,DTW,332,Barisal,Jhalakati,Jhalakati Sadar,Kirtipasha,Tarpasa,1424066950,0.5,0.02,1.2,0.014,6.2,< 0.003,< 0.002,< 0.008,0.069,2.3,0.011,2.93,0.011,341,0.3,11.3,1.3,0.0668,< 0.002,0.013
S98_03670,RIP1718,9/5/1998,90.126,22.398,1985,DTW,258,Barisal,Jhalakati,Kathalia,Kathalia,Kathalia,1424363529,0.5,0.03,0.6,0.149,36.1,< 0.003,< 0.002,< 0.008,0.25,12.1,0.016,34.3,0.099,710,0.3,9.97,1.4,0.433,< 0.002,0.01
S98_03808,RIP1877,19/05/1998,89.498,23.613,1998,STW,56,Dhaka,Rajbari,Baliakandi,Jungal,Potra,3820766804,0.5,0.04,< 0.1,0.072,131,< 0.003,< 0.002,< 0.008,0.1,3.2,0.013,38,0.793,56.2,< 0.1,23.9,4.6,0.502,< 0.002,0.013
S98_03812,RIP1881,19/05/1998,89.628,23.616,1993,DTW,167,Dhaka,Rajbari,Baliakandi,Jamalpur,Brimagura,3820757271,0.5,0.05,< 0.1,0.027,74,< 0.003,< 0.002,< 0.008,0.208,2.4,0.067,27.1,0.943,364,0.1,18.2,38.9,0.417,< 0.002,0.011
S98_04072,RIP2233,18/04/1998,89.442,24.076,1997,STW,38,Rajshahi,Pabna,Santhia,Bhulbaria,Debipur,5767217260,0.5,0.17,< 0.1,0.065,78.2,< 0.003,< 0.002,< 0.008,0.522,2.1,0.008,32.9,1.74,60.7,0.1,22.5,4.6,0.444,0.003,0.07
S98_04380,RIP3346,21/05/1998,91.913,22.171,1998,STW,53,Chittagong,Chittagong,Banshkhali,Pukuria,Chandpur,2150869138,0.5,0.03,< 0.1,0.043,11.3,< 0.003,< 0.002,< 0.008,8.28,2,0.019,6.14,0.481,20.5,0.3,37.3,2.9,0.128,< 0.002,0.037
S98_04436,RIP3456,23/05/1998,92.085,21.325,1996,Tara,64,Chittagong,Cox's Bazar,Ramu,Khumiapalong,Dhoapalong,2226657204,0.5,0.02,< 0.1,0.021,16.3,< 0.003,< 0.002,< 0.008,0.338,6.4,0.008,15.8,0.155,34.7,0.5,18.2,3.3,0.179,< 0.002,0.032
S99_04046,RIP4046,15/05/1999,90.9744,24.2194,1965,HTW,79.9,Dhaka,Kishoreganj,Bajitpur,Dighirpar,UP office Dighirpar,3480625279,0.5,0.02,< 0.1,0.049,30.5,< 0.003,< 0.002,< 0.008,0.052,1.3,0.007,3.66,0.039,51.7,< 0.1,17.2,< 0.2,0.243,< 0.002,0.026
S99_04114,RIP4114,23/05/1999,90.6539,24.6888,1997,TARA,64,Dhaka,Mymensingh,Ishwarganj,Sohagi,Bagaputa,3613185019,0.5,0.07,< 0.1,0.015,29.7,< 0.003,< 0.002,< 0.008,0.045,1.4,< 0.004,7.35,0.29,8.5,0.2,28.2,2.1,0.162,0.005,0.065
S99_04191,RIP4191,3/6/1999,90.5578,23.9047,1979,HTW,63.4,Dhaka,Gazipur,Kaliganj (G),Tumulia,Tiori,3333494957,0.5,0.15,< 0.1,0.219,76.4,< 0.003,< 0.002,< 0.008,4.75,3.8,0.007,36.4,0.811,109,0.2,28,0.5,0.49,< 0.002,0.095
S99_04211,RIP4211,10/6/1999,89.1735,24.9176,1989,HTW,18,Rajshahi,Bogra,Dubchachia,Chamrul,Daimpur,5103313276,0.5,0.05,< 0.1,0.03,29.1,< 0.003,< 0.002,< 0.008,0.665,1.1,< 0.004,10.2,0.399,15,< 0.1,26.9,1.5,0.108,< 0.002,0.011
S99_04226,RIP4226,14/06/1999,89.3191,24.709,1991,TARA,25.3,Rajshahi,Bogra,Bogra Sadar,Qohail,Khadas,5102030559,0.5,0.06,< 0.1,0.042,40.3,< 0.003,< 0.002,< 0.008,0.037,1.2,0.012,11.5,0.466,18.9,< 0.1,24.8,3.5,0.121,< 0.002,0.017
S99_04227,RIP4227,14/06/1999,89.3293,24.737,1985,HTW,18.9,Rajshahi,Bogra,Bogra Sadar,Kharna,Haringari,5102038423,0.5,0.04,< 0.1,0.017,27.4,< 0.003,< 0.002,< 0.008,0.075,0.8,0.007,8.19,0.432,24.5,0.2,22.8,0.8,0.101,< 0.002,0.009
S99_05033,RIP5033,16/05/1999,90.7244,24.8671,1988,HTW,56.4,Dhaka,Netrokona,Netrokona Sadar,Kailathi,Toynagar,3727431589,0.5,0.06,< 0.1,0.014,36,< 0.003,< 0.002,< 0.008,0.064,0.7,< 0.004,12.2,0.017,43,0.2,19.2,0.5,0.178,0.003,0.018
S99_05126,RIP5126,28/05/1999,89.8367,25.125,1997,HTW,22.6,Dhaka,Jamalpur,Islampur,Goalerchar,Mahalgiri,3392947681,0.5,0.05,< 0.1,0.076,57.9,< 0.003,< 0.002,< 0.008,0.085,4.3,0.007,26.7,1.17,23.8,< 0.1,14.7,25.6,0.224,< 0.002,0.035
S99_05161,RIP5161,2/6/1999,90.6748,23.9399,1998,TARA,69.5,Dhaka,Narsingdi,Palash,Jinardi,Kuraitali (Barar Char),3686379647,0.5,0.05,< 0.1,0.049,29.2,< 0.003,< 0.002,< 0.008,0.115,1.7,< 0.004,9.58,0.057,33.8,0.1,33.6,4.5,0.199,0.002,0.021
S99_05311,RIP5311,26/06/1999,88.7704,25.6289,1994,HTW,19.2,Rajshahi,Dinajpur,Chirirbandar,Amarpur,Amarpur,5273023020,0.5,< 0.01,< 0.1,0.035,31.4,< 0.003,< 0.002,< 0.008,0.131,1.3,< 0.004,6.79,0.047,26.1,< 0.1,22.6,8.2,0.192,< 0.002,0.005
S99_05329,RIP5329,29/06/1999,89.0033,25.3382,,TARA,28.3,Rajshahi,Dinajpur,Hakimpur,Khatta Madhabpara,Khatta,5274781583,0.5,< 0.01,< 0.1,0.018,10.7,< 0.003,< 0.002,< 0.008,1.36,1.2,< 0.004,4.32,0.183,14.4,< 0.1,31.9,0.2,0.0524,< 0.002,0.235
