"x","y","B2","B3","B4","B5","B6","B7","B8","B8A","B11","B12","Class","Landuse","Class_ID"
678191.45365532,4764069.10237066,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678193.971301184,4764069.10237066,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678196.488947048,4764069.10237066,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678191.45365532,4764066.61110184,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678193.971301184,4764066.61110184,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678196.488947048,4764066.61110184,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678430.630012381,4764066.61110184,589,810,763,1019,1859,1859,2255,2594,1855,1197,"Class_2","Building",2
678433.147658244,4764066.61110184,589,810,763,1019,1859,1859,2255,2594,1855,1197,"Class_2","Building",2
679251.382563977,4764066.61110184,278,582,534,1007,1784,1784,2490,2664,1946,1120,"Class_4","Grass",4
678191.45365532,4764064.11983303,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678193.971301184,4764064.11983303,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678196.488947048,4764064.11983303,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
678433.147658244,4764064.11983303,589,810,763,1019,1859,1859,2255,2594,1855,1197,"Class_2","Building",2
678435.665304108,4764064.11983303,589,810,763,1019,1859,1859,2255,2594,1855,1197,"Class_2","Building",2
679248.864918113,4764064.11983303,293,556,506,1007,1784,1784,2573,2664,1946,1120,"Class_4","Grass",4
679251.382563977,4764064.11983303,278,582,534,1007,1784,1784,2490,2664,1946,1120,"Class_4","Grass",4
679253.900209841,4764064.11983303,278,582,534,1007,1784,1784,2490,2664,1946,1120,"Class_4","Grass",4
679256.417855705,4764064.11983303,278,582,534,1007,1784,1784,2490,2664,1946,1120,"Class_4","Grass",4
679759.947028463,4764064.11983303,473,822,1024,1235,2839,2839,3749,4090,2820,1978,"Class_1","Parking/road/pavement",1
679762.464674327,4764064.11983303,652,1004,1560,1660,2634,2634,3227,3788,3084,2424,"Class_1","Parking/road/pavement",1
679764.982320191,4764064.11983303,652,1004,1560,1660,2634,2634,3227,3788,3084,2424,"Class_1","Parking/road/pavement",1
678191.45365532,4764061.62856422,616,682,655,767,1669,1669,1922,2414,1726,1115,"Class_2","Building",2
