X2015.01.01,X2015.01.02,X2015.01.03,X2015.01.04,X2015.01.05,X2015.01.06,X2015.01.07,X2015.01.08,X2015.01.09,X2015.01.10,X2015.01.11,X2015.01.12,X2015.01.13,X2015.01.14,X2015.01.15,X2015.01.16,X2015.01.17,X2015.01.18,X2015.01.19,X2015.01.20,X2015.01.21,X2015.01.22,X2015.01.23,X2015.01.24,X2015.01.25,X2015.01.26,X2015.01.27,X2015.01.28,X2015.01.29,X2015.01.30,X2015.01.31,X2015.02.01,X2015.02.02,X2015.02.03,X2015.02.04,X2015.02.05,X2015.02.06,X2015.02.07,X2015.02.08,X2015.02.09,X2015.02.10,X2015.02.11,X2015.02.12,X2015.02.13,X2015.02.14,X2015.02.15,X2015.02.16,X2015.02.17,X2015.02.18,X2015.02.19,X2015.02.20,X2015.02.21,X2015.02.22,X2015.02.23,X2015.02.24,X2015.02.25,X2015.02.26,X2015.02.27,X2015.02.28,X2015.03.01,X2015.03.02,X2015.03.03,X2015.03.04,X2015.03.05,X2015.03.06,X2015.03.07,X2015.03.08,X2015.03.09,X2015.03.10,X2015.03.11,X2015.03.12,X2015.03.13,X2015.03.14,X2015.03.15,X2015.03.16,X2015.03.17,X2015.03.18,X2015.03.19,X2015.03.20,X2015.03.21,X2015.03.22,X2015.03.23,X2015.03.24,X2015.03.25,X2015.03.26,X2015.03.27,X2015.03.28,X2015.03.29,X2015.03.30,X2015.03.31,X2015.04.01,lon,lat
18.25833,17.29311,16.47543,16.47663,15.28991,14.88202,14.50142,13.67585,14.65235,13.79957,12.70992,13.30934,13.64426,14.47054,14.75168,14.57354,13.6014,13.02538,13.14706,12.9742,14.0525,14.75591,14.96126,15.52417,15.74151,15.47835,15.30175,14.86278,14.50833,12.98422,12.97991,13.33451,14.47259,15.63513,16.33465,16.04189,15.79078,15.96808,16.1286,15.25227,15.37232,15.0479,15.33031,15.19968,16.24985,16.09899,16.76757,16.75276,17.87498,16.71512,17.24038,18.04889,20.03757,21.16684,21.50705,21.27047,20.42628,19.76257,20.25695,20.81549,18.13645,18.73566,18.06447,16.79443,16.88156,17.52962,18.76816,19.5109,18.98,18.70359,19.18592,20.24659,21.16176,21.18771,21.92643,21.48957,19.54756,19.10654,19.57999,20.65969,21.69936,22.24246,21.90197,23.44596,22.60897,21.88632,21.28802,21.60673,22.3752,21.53271,16.59979,338055.23824302,2932082.47735477
18.25518,17.27908,16.4853,16.46803,15.34229,14.96211,14.53166,13.68839,14.64241,13.88071,12.77357,13.31089,13.65181,14.52468,14.80554,14.67004,13.65991,13.05351,13.2301,13.03434,14.1039,14.77586,15.00744,15.67735,15.90576,15.60326,15.35244,14.87469,14.5999,13.00402,13.01537,13.30575,14.44827,15.66163,16.25958,16.11414,15.91098,16.05958,16.29165,15.28103,15.44599,15.1117,15.3719,15.19636,16.25937,16.0741,16.75262,16.76975,17.95492,16.64885,17.17186,18.05171,20.0437,21.21301,21.48745,21.24142,20.40295,19.76701,20.23961,20.83868,18.21047,18.75582,18.05792,16.82333,16.94775,17.48324,18.74222,19.4901,18.82787,18.72318,19.1709,20.31962,21.04784,21.04108,21.82428,21.37191,19.46733,19.01828,19.43025,20.59533,21.59418,22.17443,21.84599,23.36425,22.54996,21.9148,21.25475,21.6909,22.43385,21.56373,16.7154,350514.324511799,2931930.83504726
19.75605,18.72389,17.66772,17.80759,16.56447,16.27079,16.00664,15.17853,15.90921,15.05981,13.84919,14.5392,15.11036,16.17505,16.46824,16.34981,15.23831,14.45214,14.49846,14.18941,15.34927,16.10153,16.45873,17.03319,17.24221,16.95812,16.80775,16.3864,16.02673,14.40696,14.34908,14.76719,15.88327,17.08945,17.74153,17.53223,17.2303,17.38828,17.78771,16.8136,16.91533,16.58696,16.91497,16.82199,17.82289,17.70086,18.29344,18.42393,19.67114,18.24981,18.70915,19.61277,21.56831,22.7661,22.93367,22.78612,22.05142,21.41935,21.90422,22.39128,19.87311,20.4831,19.78541,18.44621,18.50253,19.10816,20.36834,21.12074,20.43129,20.22417,20.61585,21.95406,22.78175,22.66536,23.50546,23.1092,21.03875,20.60302,21.0188,22.25888,23.22157,23.91793,23.94528,25.32699,24.3655,23.43158,22.77244,23.25541,24.08712,23.20698,18.60355,362825.010146445,2917945.10875727
19.67355,18.73855,17.61309,17.56262,16.51921,16.34967,15.91485,14.85841,15.5198,15.20475,14.00859,14.64974,15.2345,16.28488,16.66782,16.44618,15.40158,14.33653,14.51228,14.2219,15.34025,16.02271,16.63553,16.93492,17.19886,17.01275,17.06851,16.63454,16.07086,14.35197,14.15204,14.54499,15.66622,16.81995,17.69141,17.64411,17.29586,17.32469,17.70593,17.03468,17.07451,16.71907,16.86831,16.87183,17.5973,17.38553,17.95746,18.25538,19.48891,17.95626,18.6247,19.51471,21.4195,22.58556,22.57555,22.44972,21.97676,21.35358,21.75252,22.17845,19.95982,20.39047,19.51682,18.39094,18.46432,19.08299,20.07303,21.02451,20.3388,20.1455,20.55719,21.89456,22.70117,22.41708,23.08714,22.70181,20.80759,20.40358,20.87464,22.06812,22.89144,23.50327,23.81966,25.06179,24.10932,23.17074,22.54756,23.32569,23.81359,23.09397,19.11732,400239.120988898,2917600.5733913
20.51918,19.5066,18.30359,18.63556,17.10912,16.69919,16.6387,16.00326,16.74875,15.42703,14.14351,15.04494,15.68391,16.78681,17.11553,17.02896,15.89526,15.1805,14.97508,14.57036,15.77732,16.74719,17.01395,17.50953,17.61295,17.39336,17.39801,17.12674,16.62404,15.18607,15.05897,15.61645,16.75368,17.89564,18.6732,18.09711,17.61027,17.92362,18.36295,17.52603,17.51235,17.14105,17.67569,17.60209,18.66474,18.70626,19.31711,19.44837,20.49685,19.20509,19.58619,20.45892,22.39833,23.59548,23.80527,23.77785,23.0399,22.2978,22.9293,23.24476,20.6568,21.4183,20.89487,19.25874,19.20643,20.00599,21.42626,22.0357,21.65918,20.97967,21.38693,22.66593,23.97425,23.94965,24.78685,24.46187,22.18169,21.65728,22.13975,23.30525,24.32053,25.10147,25.20398,26.54811,25.43302,24.2912,23.70496,23.93499,25.00814,24.07534,19.23745,337706.211803254,2904388.32576129
20.57243,19.53734,18.34335,18.64839,17.17905,16.81177,16.70856,16.06205,16.76806,15.53975,14.23967,15.07779,15.7585,16.91096,17.20386,17.17355,15.99494,15.24973,15.08865,14.66913,15.88045,16.79774,17.08529,17.68105,17.8219,17.55606,17.45941,17.13492,16.74318,15.22647,15.12791,15.60059,16.7486,17.96345,18.60947,18.18988,17.76318,18.04593,18.57282,17.55944,17.6023,17.24313,17.7741,17.64108,18.70725,18.69985,19.3207,19.46458,20.57334,19.1721,19.52937,20.47746,22.41595,23.65688,23.79583,23.77369,23.03913,22.32832,22.93148,23.2963,20.75832,21.45235,20.88556,19.30759,19.28658,19.97081,21.43472,22.0185,21.47871,21.02437,21.38714,22.76871,23.85349,23.80492,24.69013,24.35641,22.10098,21.58142,22.00954,23.30433,24.25842,25.0639,25.17472,26.50004,25.38797,24.35154,23.69319,24.03727,25.08223,24.12152,19.38803,350192.170892958,2904237.6877723
20.56808,19.5575,18.34547,18.57987,17.17517,16.84998,16.69362,15.96554,16.65266,15.60059,14.30579,15.12545,15.82222,16.96918,17.28508,17.22283,16.06734,15.23034,15.10747,14.70233,15.89483,16.79309,17.15409,17.66216,17.81527,17.58278,17.54957,17.21105,16.77307,15.21963,15.0694,15.53552,16.68283,17.89134,18.60003,18.23698,17.79828,18.03148,18.55124,17.63664,17.67513,17.29791,17.75415,17.66018,18.64127,18.60581,19.21397,19.40396,20.5223,19.08306,19.50801,20.44955,22.37478,23.59703,23.68501,23.66626,23.02383,22.32304,22.89419,23.23074,20.80118,21.42323,20.80174,19.30252,19.2918,19.96686,21.33483,21.99657,21.44882,21.00999,21.38538,22.76384,23.82417,23.72068,24.55549,24.22486,22.02512,21.52185,21.96576,23.24871,24.16438,24.93553,25.13595,26.42397,25.31423,24.27759,23.62354,24.07175,24.99587,24.0838,19.55045,362677.692801416,2904099.11102263
20.56365,19.57773,18.34765,18.51134,17.17115,16.88811,16.67846,15.86875,16.53712,15.66135,14.37199,15.17303,15.88637,17.02734,17.36622,17.27217,16.13981,15.21082,15.12622,14.73546,15.90921,16.78843,17.2229,17.64326,17.80879,17.60935,17.63988,17.28712,16.80296,15.21279,15.01089,15.47038,16.6172,17.81915,18.59058,18.28371,17.83311,18.01703,18.52967,17.71376,17.74781,17.35275,17.73413,17.67922,18.57557,18.51191,19.10731,19.3434,20.47126,18.99389,19.48672,20.42191,22.3334,23.53732,23.57426,23.55882,23.00853,22.31768,22.85669,23.16539,20.84425,21.39433,20.71778,19.29744,19.29716,19.96299,21.23508,21.97472,21.419,20.99554,21.38368,22.7587,23.79498,23.63637,24.42091,24.09353,21.94885,21.46236,21.92192,23.19302,24.07048,24.80737,25.09717,26.34798,25.24035,24.20357,23.55396,24.1065,24.90945,24.04609,19.71343,375162.813965637,2903972.59296147
20.55938,19.59789,18.34956,18.44268,17.16742,16.92639,16.66352,15.77238,16.42179,15.72205,14.43804,15.22054,15.95038,17.0855,17.4475,17.32145,16.21235,15.19129,15.14518,14.76846,15.92367,16.78364,17.2917,17.6243,17.80195,17.63593,17.73018,17.36325,16.83278,15.20588,14.95238,15.40517,16.55136,17.74724,18.58092,18.33073,17.86807,18.00258,18.50803,17.79095,17.82042,17.40738,17.71411,17.69846,18.50986,18.41801,19.00065,19.28285,20.42029,18.90478,19.46543,20.39393,22.2923,23.47747,23.46365,23.45132,22.99324,22.31211,22.81932,23.0999,20.88711,21.36528,20.63389,19.29265,19.3023,19.95904,21.13526,21.95293,21.38918,20.98122,21.38192,22.75369,23.7658,23.55184,24.28634,23.96192,21.87292,21.40265,21.87814,23.1374,23.97672,24.67892,25.05847,26.27177,25.16647,24.12962,23.48431,24.14104,24.82309,24.0083,19.87642,387647.570821266,2903858.13126017
20.5506,19.63814,18.35372,18.30536,17.15938,17.00267,16.63363,15.57901,16.19091,15.84344,14.5705,15.31571,16.07833,17.20175,17.60999,17.41993,16.35728,15.15223,15.18283,14.83472,15.95236,16.77419,17.42924,17.58658,17.78855,17.68908,17.91058,17.5156,16.89242,15.19192,14.83507,15.2749,16.4201,17.60329,18.56203,18.42456,17.938,17.97353,18.46482,17.94534,17.96585,17.51715,17.674,17.73674,18.37825,18.22971,18.7874,19.16138,20.31836,18.72629,19.42278,20.33838,22.20954,23.35805,23.24194,23.23652,22.96257,22.30146,22.74439,22.96906,20.97298,21.30727,20.46611,19.28228,19.31288,19.95129,20.93575,21.90923,21.3294,20.95232,21.37854,22.74361,23.70743,23.38308,24.01725,23.69925,21.72072,21.28358,21.79065,23.02588,23.78864,24.42232,24.98114,26.11957,25.01878,23.98158,23.34515,24.21034,24.65044,23.93266,20.20183,412616.137343235,2903665.3687326
